Abbreviation,Building,Address
3M,3M Centre,"1151 Richmond Street, Lambton Dr. London, ON N6G 2V4"
ACEB,Amit Chakma Engineering Building,"London, ON"
AFAR,Advanced Facility For Avian Research,"32 Wellington Dr London, ON N6G 4W4"
AH,Alumni Hall,"Lambton Dr London, ON N6G 1G8"
AHB,Arts & Humanities Building,"London, ON N6G 2V4"
AHR,Alumni House Residence,"1151 Richmond Street, University Dr. London, ON N6A 5B7"
AP,Academic Pavilion,"1285 Western Road London, ON N6G 1H2"
AR,Government of Canada Agriculture Institute,"1391 Sandford London, ON N5B 3V5"
AUHR,Ausable Hall Residence,"271 Windemere Road, Wellington Dr. London, ON N6G 1G9"
BAHR,Bayfield Hall Residence,"291 Windermere Road, Wellington Dr. London, ON N6G 2J9"
BFMC,Byron Family Medical Centre,"1228 Commissioners Road W. London, ON N6K 1C7"
BGG,Biological & Geological Greenhouses,"1151 Richmond Street, Perth Dr. London, ON N6G 2V4"
BGSB,Biological & Geological Sciences Building,"1964 Middlesex Dr London, ON N6G 2V4"
BHR,Beaver Hall Residence,"287 Windermere Road, 285 Wellington Dr London, ON N6G 1G9"
BIL,Beryl Ivey Library,"1285 Western Road London, ON N6G 1H2"
BIO,Biotron,"1151 Richmond St, Perth Dr. London, ON N6G 2V4"
BLWT,Boundary Layer Wind Tunnel,"London, ON N6G 1G8"
BRF,Bio-Medical Research Facility,""
BP,Books Plus,"1153 Western Rd London, ON N6G 1G6"
BUC,Brescia University College,"1285 Western Road London, ON N6G 1H2"
CB,Collip Building,"London, ON N6G 2V4"
CC,Convergence Centre,"999 Collip Circle London, ON N6G 0J3"
CHB,Chemistry Building,"London, ON N6A 3K7"
CHR,Clare Hall Residence & Mercato,"271 Ramsay Rd London, ON N6G 0S2"
CHWO,Children's Hospital of Western Ontario,"800 Commissioner's Rd. E London, ON N6C 2V5"
CMLP,Claudette Mackay-Lassonde Pavilion,"Lambton Dr. London, ON N6G 1G8"
CO,Cronyn Observatory,"Lambton Dr. London, ON N6G 1G8"
COL,The Collider (Formerly Accelerator),"7242 Colonel Talbot Road London, ON ​N6L 1H8"
CPRI,Children's Psychiatric Research Institute,"P.O. Box 2460 Sanatorium Rd. London, ON N6A 4G6"
CSB,Dr. Don Rix Clinical Skills Learning Building,"Elgin Rd. London, ON N6G 2V4"
CYDC,Centre to Child & Youth Development Clinic (BMO),"1163 Richmond St. London, ON N6A 3K6"
DHR,Delaware Hall Residence,"Perth Dr. London, ON N6A 3K7"
DSB,Dental Sciences Building,"Dental Cir. London, ON N6A 3K7"
EC,Elborn College,"1201 Western Rd London, ON N6G 1H1"
EHR,Essex Hall Residence,"1200 Western Road London, ON N6G 5E3"
ELHR,Elgin Hall Residence,"University Dr. London, ON N6A 5B7"
EO,Elginfield Observatory,"RR#3 Granton, ON N0M 1V0"
ESW,Environmental Science Western Field Station,"22312 Wonderland Road N Ilderton, ON N0M 2A0"
FEB,John George Althouse Faculty of Education Building,"1137 Western Rd London, ON N6G 1G7"
FNB,FIMS & Nursing Building,"Huron Dr. London, ON N6G 1G8"
FPC,Fraunhofer Project Centre for Composites Research,"2520 Advanced Ave. London, ON N6M 0E1"
GL,Gibbons Lodge,"1836 Richmond Street London, ON N5X 4B9"
GSB,Graphics Services Building,"Wellington Dr. London, ON N6G 1G9"
HSA,Health Sciences Addition,"Middlesex Dr. London, ON N6G 2V4"
HSB,Arthur & Sonia Labatt Health Sciences Building,"1151 Huron Dr. London, ON N6A 2K5"
HUC,Huron University College,"1349 Western Road London, ON N6G 1H3"
ICFAR,Institute For Chemicals & Fuels from Alternative Resources,"22312 Wonderland Road Ilderton, ON N0M 2A0"
IGAB,International and Graduate Affairs Building,"1151 Richmond Street London, ON N6A 3K7"
IMTI,Integrated Manufacturing Technologies Institute,"800 Collip Cir. London, ON N6G 4X8"
IRL,Insurance Research Lab For Better Homes,"Huron St. London, ON N5V 0A3"
IVEY,Richard Ivey Building,"1255 Western Road London, ON N6G 0N1"
ISLC,Ivey Spencer Leadership Centre,"551 Windermere Rd London, ON N6A 4B6"
KB,Kresge Building,"1960 Middlesex Dr. London, ON N6G 2V4"
KUC,King's University College,"266 Epworth Avenue London, ON N6A 2M3"
